WEAPON	INC CHMIN_PPSH			0.9
WEAPON	TIMELIMIT	CHMIN_PPSH								100
WEAPON	INC	CHMIN_SABGLOCK			1.5
WEAPON	TIMELIMIT	CHMIN_SABGLOCK								50
WEAPON	INC	CHMIN_HITMAN	2.0
WEAPON	TIMELIMIT	CHMIN_HITMAN						50
WEAPON	INC CHMIN_STRIKER			0.3
WEAPON	TIMELIMIT	CHMIN_STRIKER								100
WEAPON	INC CHMIN_WEEAK			3.0
WEAPON	TIMELIMIT	CHMIN_WEEAK								50
WEAPON	INC CHMIN_DEFSHOT			0.6
WEAPON	TIMELIMIT	CHMIN_DEFSHOT								100
WEAPON	INC CHMIN_INGRAMSL		0.4
WEAPON	TIMELIMIT	CHMIN_INGRAMSL							100
WEAPON	INC CHMIN_BULLPUP				2.0
WEAPON	TIMELIMIT	CHMIN_BULLPUP									50
WEAPON	INC CHMIN_BAR				2.0
WEAPON	TIMELIMIT	CHMIN_BAR									50
