default, ped, 191
	Walk_civi,	0, 354
	run_civi,	1, 354
	sprint_panic,	2, 354
	idle_stance,	3, 2
	roadcross,	4, 28
	walk_start,	5, 64
	run_stop,	6, 68
	run_stopR,	7, 68
	idle_hbhb,	8, 18
	idle_hbhb,	9, 18
	idle_tired,	10, 22
	idle_armed,	11, 18
	idle_chat,	12, 18
	idle_taxi,	13, 24
	Swim_Tread,	14, 6
	KO_shot_front,	15, 2128
	KO_shot_front,	16, 2128
	KO_shot_front,	17, 2128
	KO_shot_front,	18, 2128
	KO_shot_face,	19, 80
	KO_shot_stom,	20, 80
	gas_cwr,	21, 86
	KD_left,	22, 16
	KD_right,	23, 16
	KO_skid_front,	24, 16
	KO_spin_R,	25, 16
	KO_skid_back,	26, 2064
	KO_spin_L,	27, 16
	SHOT_partial,	28, 1048
	SHOT_leftP,	29, 1048
	Shot_partial_B,	30, 1048
	SHOT_rightP,	31, 1048
	HIT_front,	32, 88
	HIT_L,	33, 24
	HIT_back,	34, 88
	HIT_R,	35, 24
	FLOOR_hit,	36, 20
	HIT_walk,	37, 88
	HIT_wall,	38, 88
	FLOOR_hit_f,	39, 2068
	HIT_behind,	40, 24
	FightSH_FWD,	41, 370
	FightSH_Left,	42, 498
	FightSH_BWD,	43, 370
	FightSH_Right,	44, 498
	FightShF,	45, 88
	FightShB,	46, 88
	FIGHT2IDLE,	47, 88
	bomber,	48, 24
	Gun_stand,	49, 2
	GunMove_FWD,	50, 354
	GunMove_L,	51, 482
	GunMove_BWD,	52, 354
	GunMove_R,	53, 482
	Gun_2_Idle,	54, 92
	WEAPON_crouch,	55, 6
	GunCrouchFwd,	56, 342
	Crouch_Roll_L,	57, 216
	GunCrouchBwd,	58, 342
	Crouch_Roll_R,	59, 216
	CAR_sit,	60, 4
	CAR_Lsit,	61, 4
	CAR_sit_weak,	64, 4
	CAR_sit_pro,	65, 4
	CAR_sitp,	62, 4
	CAR_sitpLO,	63, 4
	DRIVE_L,	66, 4116
	Drive_R,	67, 4116
	Drive_LO_l,	68, 4116
	Drive_LO_R,	69, 4116
	Drive_L_weak,	70, 4116
	Drive_R_weak,	71, 4116
	Drive_L_pro,	72, 4116
	Drive_R_pro,	73, 4116
	Driveby_L,	74, 4116
	Driveby_R,	75, 4116
	DrivebyL_L,	76, 4116
	DrivebyL_R,	77, 4116
	CAR_LB,	78, 4116
	CAR_LB_weak,	79, 4116
	CAR_LB_pro,	80, 4116
	DRIVE_BOAT,	81, 4100
	DRIVE_BOAT_L,	82, 4116
	DRIVE_BOAT_R,	83, 4116
	DRIVE_BOAT_back,	84, 4116
	Drive_L_slow,	85, 4116
	Drive_R_slow,	86, 4116
	Drive_L_weak_slow,	87, 4116
	Drive_R_weak_slow,	88, 4116
	Drive_L_pro_slow,	89, 4116
	Drive_R_pro_slow,	90, 4116
	Drive_truck,	91, 4
	Drive_truck_L,	92, 4116
	Drive_truck_R,	93, 4116
	Drive_truck_back,	94, 4116
	Kart_drive,	95, 4
	Kart_L,	96, 4116
	Kart_R,	97, 4116
	Kart_LB,	98, 4116
	BIKE_pickupR,	99, 24
	BIKE_pickupL,	100, 24
	BIKE_pullupR,	101, 24
	BIKE_pullupL,	102, 24
	BIKE_elbowL,	103, 24
	BIKE_elbowR,	104, 24
	BIKE_fall_off,	105, 84
	BIKE_fallR,	106, 84
	car_hookertalk,	107, 18
	CAR_crawloutRHS,	108, 24
	CAR_crawloutRHS,	109, 24
	CAR_rollout_LHS,	110, 2260
	CAR_rollout_RHS,	111, 2260
	Getup,	112, 88
	Getup,	113, 88
	Getup,	114, 88
	Getup_front,	115, 2136
	JUMP_launch,	116, 88
	JUMP_launch_R,	117, 88
	JUMP_glide,	118, 20
	JUMP_land,	119, 88
	FALL_fall,	120, 22
	FALL_glide,	121, 20
	FALL_land,	122, 88
	FALL_collapse,	123, 88
	FALL_back,	124, 20
	FALL_front,	125, 2068
	EV_step,	126, 88
	EV_dive,	127, 2128
	CLIMB_jump,	128, 20
