
# This file contains all the info about the car colours. There are two
# sections, col which contains the colour table and car which contains 
# the possible indices into the colour table for each car.
#
# The end column of the col section is the radio chat version of the car colour.
#
# Press START on controller to reload this file while the game is running.
#
#
#
#
#
#	1-10	service colours  - careful with these
#	126	hot pink   - do not use
#
#
#street, 9,73



col
0,0,0				# 0 black				black
245,245,245			# 1 white				white
42,119,161			# 2 police car blue			blue
132,4,16			# 3 cherry red				red
38,55,57			# 4 midnight blue			dark blue
134,68,110			# 5 temple curtain purple		purple
215,142,16			# 6 taxi yellow				yellow
76,117,183			# 7 striking blue			bright blue
189,190,198			# 8 light blue grey			light blue grey
94,112,114			# 9 hoods				light
# maibatsu
70,89,122			# 10 saxony blue poly			blue
101,106,121			# 11 concord blue poly			grey
93,126,141			# 12 jasper green poly			blue
88,89,90			# 13 pewter gray poly			grey
214,218,214			# 14 frost white			light
156,161,163			# 15 silver stone poly			grey
51,95,63			# 16 rio red				green
115,14,26			# 17 torino red pearl			red
123,10,42			# 18 formula red			red
159,157,148			# 19 honey beige poly			light
# shitsu and nioka
59,78,120			# 20 mariner blue			blue
115,46,62			# 21 blaze red				red
105,30,59			# 22 classic red			red
150,145,140			# 23 winning silver poly		grey
81,84,89			# 24 steel gray poly			grey
63,62,69			# 25 shadow silver poly			dark
165,169,167			# 26 silver stone poly			grey
99,92,90			# 27 warm grey mica			grey
61,74,104			# 28 harbor blue poly			blue
151,149,146			# 29 porcelain silver poly		grey
66,31,33			# 30 mellow burgundy			dark
95,39,43			# 31 graceful red mica			red
132,148,171			# 32 currant blue poly			blue
# kunst
118,123,124			# 33 gray poly				grey
100,100,100			# 34 arctic white			light
90,87,82			# 35 anthracite gray poly		grey
37,37,39			# 36 black poly				dark
45,58,53			# 37 dark green poly			green
147,163,150			# 38 seafoam poly			light
109,122,136			# 39 diamond blue poly			blue
34,25,24			# 40 biston brown poly			dark
111,103,95			# 41 desert taupe poly			dark
124,28,42			# 42 garnet red poly			red
95,10,21			# 43 desert red				red
25,56,38			# 44 green				green
93,27,32			# 45 cabernet red poly			red
157,152,114			# 46 light ivory			light
122,117,96			# 47 pueblo beige			green
152,149,134			# 48 smoke silver poly			light
173,176,176			# 49 astra silver poly			grey
132,137,136			# 50 ascot gray				grey
48,79,69			# 51 agate green			green
77,98,104			# 52 petrol blue green poly		green
22,34,72			# 53 surf blue				blue
39,47,75			# 54 nautical blue poly			blue
# stuff
125,98,86			# 55 woodrose poly			dark
158,164,171			# 56 crystal blue poly			blue
156,141,113			# 57 bisque frost poly			light
109,24,34			# 58 currant red solid			red
78,104,129			# 59 lt.crystal blue poly		blue
156,156,152			# 60 lt.titanium poly			light
145,115,71			# 61 race yellow solid			yellow
102,28,38			# 62 brt.currant red poly		red
148,157,159			# 63 clear crystal blue frost poly	grey
164,167,165			# 64 silver poly			grey
142,140,70			# 65 pastel alabaster			yellow
52,26,30			# 66 mid currant red poly		dark
106,122,140			# 67 med regatta blue poly		blue
170,173,142			# 68 oxford white solid			yellow
171,152,143			# 69 alabaster solid			light
133,31,46			# 70 elec.currant red poly		red
111,130,151			# 71 spinnaker blue solid		blue
88,88,83			# 72 dk.titanium poly			grey
154,167,144			# 73 pastel alabaster solid		light
96,26,35			# 74 med.cabernet solid			red
32,32,44			# 75 twilight blue poly			dark
164,160,150			# 76 titanium frost poly		grey
170,157,132			# 77 sandalwood frost poly		light
120,34,43			# 78 wild strawberry poly		red
14,49,109			# 79 ultra blue poly			blue
114,42,63			# 80 vermilion solid			red
123,113,94			# 81 med.sandalwood poly		light
116,29,40			# 82 med.red solid			red
30,46,50			# 83 deep jewel green			green
77,50,47			# 84 med.woodrose poly			dark
124,27,68			# 85 vermillion solid			red
# more stuff
46,91,32			# 86 green				green
57,90,131			# 87 bright blue poly			blue
109,40,55			# 88 bright red				red
167,162,143			# 89 lt.champagne poly			light
175,177,177			# 90 silver poly			silver
54,65,85			# 91 steel blue poly			blue
109,108,110			# 92 medium gray poly			grey
# generic
15,106,137			# 93 arctic pearl			light
32,75,107			# 94 nassau blue poly			blue
43,62,87			# 95 med.sapphire blue poly		blue
155,159,157			# 96 silver poly			silver
108,132,149			# 97 lt.sapphire blue poly		blue
77.93,96			# 98 malachite poly			blue
174,155,127			# 99 flax				yellow
64,108,143			# 100 med.maui blue poly		blue
31,37,59			# 101 dk.sapphire blue poly		dark
171,146,118			# 102 copper beige			light
19,69,115			# 103 bright blue poly			blue
150,129,108			# 104 med.flax				yellow
100,104,106			# 105 med.gray poly			grey
16,80,130			# 106 bright blue poly			blue
161,153,131			# 107 lt.driftwood poly			light
56,86,148			# 108 blue				blue
82,86,97			# 109 steel gray poly			grey
127,105,86			# 110 lt.beechwood poly			dark
140,146,154			# 111 slate gray			grey
89,110,135			# 112 lt.sapphire blue poly		blue
71,53,50			# 113 dk.beechwood poly			dark
68,98,79			# 114 torch red				green
115,10,39			# 115 bright red			red
34,52,87			# 116 med.sapphire blue firemist	blue
100,13,27			# 117 med.garnet red poly		red
163,173,198			# 118 white diamond pearl		light
105,88,83			# 119 dk.sable poly			dark
155,139,128			# 120 antelope beige			light
98,11,28			# 121 brilliant red poly		red
91,93,94			# 122 gun metal poly			grey
98,68,40			# 123 med.beechwood poly		dark
115,24,39			# 124 brilliant red poly		red
27,55,109			# 125 bright blue poly			blue
236,106,174			# 126 pink				light



end
car
admiral, 34,34, 35,35, 37,37, 39,39, 41,41, 43,43, 45,45, 47,47
alpha, 58,1, 69,1, 75,77, 18,1, 32,1, 45,45, 13,1, 34,1
ambulan, 1,3
androm, 1,1
artict1, 1,1
artict2, 1,1
artict3, 1,1
at400, 1,3, 8,7, 8,10, 8,16, 23,31, 40,44
baggage, 1,73, 1,74, 1,75, 1,76, 1,77, 1,78, 1,79
bandito, 2,39, 9,39, 17,1, 21,1, 33,0, 37,0, 41,29, 56,29
banshee, 12,12, 13,13, 14,14, 1,2, 2,1, 1,3, 3,1, 10,10
barracks, 43,0
beagle, 3,90, 4,90, 7,68, 8,66, 12,60, 27,97, 34,51, 37,51
benson,  109,25, 109,32, 112,32, 10,32, 30,44, 32,52, 84,66, 84,69
bf400, 54,1, 58,1, 66,1, 72,1, 75,1, 87,1, 101,1, 36,1
bfinject, 1,0, 2,2, 3,2, 3,6, 6,16, 15,30, 24,53, 35,61
bike, 7,1, 74,1, 61,1, 16,1, 25,1, 30,1, 36,1, 53,1
blade, 9,1, 12,1, 26,96, 30,96, 32,1, 37,1, 57,96, 71,96
blistac, 74,72, 66,72, 53,56, 37,19, 22,22, 20,20, 9,14, 0,0
bloodra, 51,39, 57,38, 45,29, 34,9, 65,9, 14,1, 12,9, 26,1
bmx, 1,1, 3,3, 6,6, 46,46, 65,9, 14,1, 12,9, 26,1
bobcat, 96,25, 97,25, 101,25, 111,31, 113,36, 83,57, 67,59
boxburg, 36,36
boxville, 11,123, 13,120, 20,117, 24,112, 27,107, 36,105, 37,107, 43,93
bravura, 41,41, 47,47, 52,52, 66,66, 74,74, 87,87,91,91, 113,113
broadway, 12,1, 19,96, 31,64, 25,96, 38,1, 51,96, 57,1, 66,96
buccanee, 2,39, 9,39, 17,1, 21,1, 33,0, 37,0, 41,29, 56,29
buffalo, 10,10, 13,13, 22,22, 30,30, 39,39, 90,90, 98,98, 110,110
bullet, 51,1, 58,8, 60,1, 68,8, 2,1, 13,8, 22,1, 36,8
burrito, 41,41, 48,48, 52,52, 64,64, 71,71, 85,85, 10,10, 62,62
bus, 71,59, 75,59, 92,72, 47,74, 55,83, 59,83, 71,87, 82,87
cabbie, 6,76
caddy, 58,1, 2,1, 63,1, 18,1, 32,1, 45,1, 13,1, 34,1
cadrona, 52,1, 53,1, 66,1, 75,1, 76,1, 81,1, 95,1, 109,1
cargobob, 1,1
cheetah,  20,1, 25,1, 36,1, 40,1 62,1, 75,1, 92,1, 0,1
clover, 13,118, 24,118, 31,93, 32,92, 45,92, 113,92, 119,113, 122,113
club, 37,37, 31,31, 23,23, 22,22, 7,7, 124,124, 114,114, 112,112
